accum_day,DHBFH
2017Nov28nan,0
2017Nov29nan,0
2017Nov2nan,0
2017Nov30nan,0
2017Nov31,8
2017Nov3nan,0
2017Nov41,8
2017Nov4nan,0
2017Nov51,3
2017Nov5nan,0
2017Nov6nan,0
2017Nov7nan,0
2017Nov8nan,0
2017Nov91,5
2017Nov9nan,0
2017Oct101,9
2017Oct10nan,0
2017Oct11,10
2017Oct111,6
2017Oct11nan,0
2017Oct12nan,0
2017Oct131,2
2017Oct13nan,0
2017Oct141,1
2017Oct14nan,0
2017Oct151,2
2017Oct15nan,0
2017Oct161,3
2017Oct16nan,0
2017Oct171,7
2017Oct17nan,0
2017Oct181,8
2017Oct18nan,0
2017Oct191,4
2017Oct19nan,0
2017Oct1nan,0
2017Oct201,5
2017Oct20nan,0
2017Oct21,7
2017Oct21nan,0
2017Oct221,1
2017Oct22nan,0
2017Oct231,2
2017Oct23nan,0
2017Oct241,7
2017Oct24nan,0
2017Oct251,9
2017Oct25nan,0
2017Oct261,9
2017Oct26nan,0
2017Oct271,9
2017Oct27nan,0
2017Oct281,9
2017Oct28nan,0
2017Oct291,9
2017Oct29nan,0
2017Oct2nan,0
2017Oct301,8
2017Oct30nan,0
2017Oct31,8
2017Oct311,1
2017Oct31nan,0
2017Oct3nan,0
2017Oct41,5
2017Oct4nan,0
2017Oct51,5
2017Oct5nan,0
2017Oct61,8
2017Oct6nan,0
2017Oct71,10
2017Oct7nan,0
2017Oct81,10
2017Oct8nan,0
2017Oct91,5
2017Oct9nan,0
2017Sep101,11
2017Sep10nan,0
2017Sep11,11
2017Sep111,11
2017Sep11nan,0
2017Sep121,11
2017Sep12nan,0
2017Sep131,11
2017Sep13nan,0
2017Sep141,11
2017Sep14nan,0
2017Sep151,11
2017Sep15nan,0
2017Sep161,11
2017Sep16nan,0
2017Sep171,11
2017Sep17nan,0
2017Sep181,11
2017Sep18nan,0
2017Sep191,10
2017Sep19nan,0
2017Sep1nan,0
2017Sep201,10
2017Sep20nan,0
2017Sep21,11
2017Sep211,10
2017Sep21nan,0
2017Sep221,5
2017Sep22nan,0
2017Sep231,6
2017Sep23nan,0
2017Sep241,10
2017Sep24nan,0
2017Sep251,10
2017Sep25nan,0
2017Sep261,10
2017Sep26nan,0
2017Sep271,10
2017Sep27nan,0
2017Sep281,10
2017Sep28nan,0
2017Sep291,10
2017Sep29nan,0
2017Sep2nan,0
2017Sep301,10
2017Sep30nan,0
2017Sep31,11
2017Sep3nan,0
2017Sep41,11
2017Sep4nan,0
2017Sep51,11
2017Sep5nan,0
2017Sep61,11
2017Sep6nan,0
2017Sep71,11
2017Sep7nan,0
2017Sep81,11
2017Sep8nan,0
2017Sep91,11
2017Sep9nan,0
