accum_day,DHBFH
2018Sep151,10
2018Sep15nan,0
2018Sep161,10
2018Sep16nan,0
2018Sep171,10
2018Sep17nan,0
2018Sep181,10
2018Sep18nan,0
2018Sep191,10
2018Sep19nan,0
2018Sep1nan,0
2018Sep201,10
2018Sep20nan,0
2018Sep21,11
2018Sep211,5
2018Sep21nan,0
2018Sep221,10
2018Sep22nan,0
2018Sep231,10
2018Sep23nan,0
2018Sep241,7
2018Sep24nan,0
2018Sep251,3
2018Sep25nan,0
2018Sep261,3
2018Sep26nan,0
2018Sep271,4
2018Sep27nan,0
2018Sep281,9
2018Sep28nan,0
2018Sep291,10
2018Sep29nan,0
2018Sep2nan,0
2018Sep301,10
2018Sep30nan,0
2018Sep31,11
2018Sep3nan,0
2018Sep41,11
2018Sep4nan,0
2018Sep51,11
2018Sep5nan,0
2018Sep61,11
2018Sep6nan,0
2018Sep71,11
2018Sep7nan,0
2018Sep81,10
2018Sep8nan,0
2018Sep91,10
2018Sep9nan,0
